Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,University ,School
Camar Wheaton,RB,Garland,TX,5'11'',195.0,,86,Alabama,6,,,2021,Alabama,,,,
Jacorey Brooks,WR,Bradenton,FL,6'2'',185.0,,86,Alabama,10,13,12,2021,Alabama,,,,
JoJo Earle,WR,Aledo,TX,5'9'',170.0,,86,Alabama,7,,,2021,Alabama,,,,
Christian Leary,ATH,Orlando,FL,5'9'',180.0,,85,Alabama,8,,,2021,Alabama,,,,
Terrence Ferguson,OT,Fort Valley,GA,6'4'',300.0,,85,Alabama,3,19,17,2021,Alabama,,,,
Jaeden Roberts,OG,Houston,TX,6'5'',345.0,,84,Alabama,1,,,2021,Alabama,,,,
James Brockermeyer,OC,Fort Worth,TX,6'3'',255.0,,84,Alabama,16,22,20,2021,Alabama,,,,
Jalen Milroe,QB-PP,Katy,TX,6'2'',195.0,,84,Alabama,14,51,6,2021,Alabama,,,,
Deontae Lawson,OLB,Mobile,AL,6'3'',210.0,,84,Alabama,15,59,20,2021,Alabama,,,,
Keanu Koht,DE,Vero Beach,FL,6'4'',225.0,,84,Alabama,4,65,23,2021,Alabama,,,,
Terrion Arnold,S,Tallahassee,FL,6'1'',185.0,,83,Alabama,7,74,6,2021,Alabama,,,,
Kaine Williams,S,Marrero,LA,6'1'',195.0,,83,Alabama,19,22,8,2021,Alabama,,,,
Monkell Goodwine,DE,Fort Washington,MD,6'4'',265.0,,83,Alabama,7,49,41,2021,Alabama,,,,
Kendrick Blackshire,ILB,Duncanville,TX,6'1'',250.0,,82,Alabama,1, NR, NR,2021,Alabama,,,,
Khyree Jackson,CB,Upper Marlboro,MD,6'3'',195.0,,82,Alabama,268,111,8,2021,Alabama,,,,
Ian Jackson,OLB,Prattville,AL,6'3'',215.0,,81,Alabama,16,,,2021,Alabama,,,,
Kadarius Calloway,S,Philadelphia,MS,6'0'',195.0,,81,Alabama,24,136,11,2021,Alabama,,,,
Tim Keenan,DT,Birmingham,AL,6'2'',340.0,,80,Alabama,25,169,14,2021,Alabama,,,,
Anquin Barnes,DT,Montgomery,AL,6'5'',300.0,,80,Alabama,11,202,5,2021,Alabama,,,,
Robbie Ouzts,TE-Y,Rock Hill,SC,6'4'',240.0,,79,Alabama,41,65,17,2021,Alabama,,,,
Devonta Smith,CB,Cincinnati,OH,5'11'',180.0,,78,Alabama,,,,2021,Alabama,,,,
Tyler Booker,OG,Bradenton,FL,6'5'',325.0,91,Alabama,,2,6,3,2022,Alabama,,,,
Shazz Preston,WR,Saint James,LA,5'11'',180.0,90,Alabama,,3,9,2,2022,Alabama,,,,
Jeremiah Alexander,DE,Alabaster,AL,6'2'',230.0,90,Alabama,,3,,,2022,Alabama,,,,
