Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Braydon Johnson,WR,Arlington,TX,6'0'',185,,70,Oklahoma State,212,,,2017,Oklahoma State,,,
Baron Odom,TE-H,Wynnewood,OK,6'3'',215,,NR,Oklahoma State,,,,2017,Oklahoma State,,,
Enoch Smith Jr.,DT,Chicago,IL,6'2'',295,,NR,Oklahoma State,,,,2017,Oklahoma State,,,
Tyler Moore,OC,Galena Park,TX,6'4'',305,,TR,Oklahoma State,,,,2017,Oklahoma State,,,
Spencer Sanders, QB-DT, Denton, TX, 6'2'',190, 84, None, Oklahoma State,8,,,2018,Oklahoma State,21,16,
C.J. Moore, WR, Tulsa, OK, 6'4'',175, 82, None, Oklahoma State,29,,,2018,Oklahoma State,36,4,
Tanner McCalister, CB, Heath, TX, 5'11'',179, 80, None, Oklahoma State,42,,,2018,Oklahoma State,,,
Sean Michael Flanagan, ATH, Charleston, AR, 6'1'',181, 80, None, Oklahoma State,31,,,2018,Oklahoma State,,,
Bryce Bray, OT, Bixby, OK, 6'5'',309, 80, None, Oklahoma State,31,,,2018,Oklahoma State,84,7,
Jonathan Shepherd, WR, Kilgore, TX, 6'4'',196, 79, None, Oklahoma State,,,,2018,Oklahoma State,,,
Michael Scott, DE, Houston, TX, 6'4'',240, 79, None, Oklahoma State,4.0,,,2018,Oklahoma State,,,
Braden Cassity, DE, Austin, TX, 6'2'',240, 78, None, Oklahoma State,61,,,2018,Oklahoma State,122,93,
Tyrese Williams, OG, Houston, TX, 6'3'',285, 78, None, Oklahoma State,39,,,2018,Oklahoma State,,,
Hunter Anthony, OT, Tuttle, OK, 6'7'',324, 78, None, Oklahoma State,59,,,2018,Oklahoma State,133,12,
Jarrick Bernard, S, Shreveport, LA, 6'1'',200, 78, None, Oklahoma State,32,,,2018,Oklahoma State,,,
JayVeon Cardwell, CB, Cibolo, TX, 6'0'',175, 78, None, Oklahoma State,58,,,2018,Oklahoma State,140,110,
Kanion Williams, S, Dallas, TX, 6'0'',170, 77, None, Oklahoma State,,,,2018,Oklahoma State,,,
Hunter Woodard, OT, Tuscola, IL, 6'6'',284, 77, None, Oklahoma State,67,,,2018,Oklahoma State,60,10,
Jacob Farrell, OT, Sulphur, OK, 6'5'',280, 77, None, Oklahoma State,77,,,2018,Oklahoma State,,,
Blake Barron, ILB, Rockwall, TX, 6'0'',220, 77, None, Oklahoma State,25,,,2018,Oklahoma State,,,
Tyler Lacy, DE, Sachse, TX, 6'4'',230, 76, None, Oklahoma State,98,,,2018,Oklahoma State,,,
Jahmyl Jeter, RB, San Antonio, TX, 6'0'',215, 76, None, Oklahoma State,52,,,2018,Oklahoma State,,,
Jason Taylor, S, Midwest City, OK, 6'1'',180, 75, None, Oklahoma State,70,,,2018,Oklahoma State,207,18,
Kolby Peel, S, College Station, TX, 6'0'',209, 75, None, Oklahoma State,,,,2018,Oklahoma State,,,
Amadou Fofana, DE, Memphis, TN, 6'4'',270, 75, None, Oklahoma State,13,,,2018,Oklahoma State,,,
Samuela Tuihalamaka, DT, Santa Ana, CA, 6'2'',275, 74, None, Oklahoma State,104,,,2018,Oklahoma State,192,121,
Gabriel Lemons, WR, Coppell, TX, 6'1'',175, 74, None, Oklahoma State,206,,,2018,Oklahoma State,245,195,
