Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,University,School
Cardavion Myers,CB,Piedmont,AL,5'10'',170,,,,NR,,,2018,Western Kentucky,,,,
Jay Gibson,TE-Y,Chattanooga,TN,6'4'',235,,,,,,,2018,Western Kentucky,,,,
Mason Brooks,OT,Cedar Park,TX,6'5'',260,,,,NR,,,2018,Western Kentucky, NR, NR,,
Quantavious Leslie,OG,Rome,GA,6'4'',285,79,Western Kentucky,,23,,,2020,Western Kentucky,205,45,,
JaQues Evans,DE,Dublin,GA,6'2'',230,76,Western Kentucky,,76,,,2020,Western Kentucky,419,97,,
Kendrick Simpkins,CB,Montgomery,AL,6'0'',190,74,Western Kentucky,,104,,,2020,Western Kentucky,569,47,,
Spencer Owens,TE,Fullerton,CA,6'5'',250,74,Western Kentucky,,6,,,2020,Western Kentucky,,,,
Dominique Bradshaw,CB,Grand Prairie,TX,5'11'',170,73,Western Kentucky,,25,,,2020,Western Kentucky,,,,
Grady Robison,QB,Sammamish,WA,6'0'',180,73,Western Kentucky,,,,,2020,Western Kentucky, None, None,,
David Ndukwe,DT,Lithonia,GA,6'6'',240,73,Western Kentucky,,105,,,2020,Western Kentucky,,,,
Noah Whittington,WR,Fort Valley,GA,5'9'',175,73,Western Kentucky,,263,,,2020,Western Kentucky,768,167,,
Barry Wagner,WR,Orlando,FL,6'0'',185,72,Western Kentucky,,,,,2020,Western Kentucky, 279, 834,,
Jalen Williams,ATH,Minneola,FL,6'1'',175,72,Western Kentucky,,145,,,2020,Western Kentucky,,,,
Nicholas Days,OLB,Miami,FL,6'2'',220,72,Western Kentucky,,14,,,2020,Western Kentucky,,,,
Craig Burt,WR,Columbus,OH,6'4'',190,72,Western Kentucky,,24,,,2020,Western Kentucky,,,,
Mark Goode,OT,Hodgenville,KY,6'6'',260,72,Western Kentucky,,166,,,2020,Western Kentucky,864,17,,
Aaron Key,OLB,Tucker,GA,6'2'',195,72,Western Kentucky,,162,,,2020,Western Kentucky,899,194,,
Darius Shipp,DT,Olive Branch,MS,6'2'',270,71,Western Kentucky,,,,,2020,Western Kentucky,,,,
Travis Collier,ATH,Douglasville,GA,6'2'',185,71,Western Kentucky,,169,,,2020,Western Kentucky,938,204,,
Shamar Sandgren,WR,Bluffton,SC,5'10'',170,71,Western Kentucky,,313,,,2020,Western Kentucky,948,54,,
Mitchell Tinsley,WR,Lee's Summit,MO,6'0'',180,71,Western Kentucky,,31,,,2020,Western Kentucky, NR, NR,,
John Blunt,CB,Arlington,TX,6'0'',180,70,Western Kentucky,,39,,,2020,Western Kentucky, NR, NR,,
Talique Allen,WR,Fort Valley,GA,6'0'',190,70,Western Kentucky,,323,,,2020,Western Kentucky,996,215,,
Wesley Horton,DT,Atlanta,GA,6'3'',250,70,Western Kentucky,,150,,,2020,Western Kentucky,1016,221,,
Darrion Robinson,ATH,Dade City,FL,5'9'',160,70,Western Kentucky,,185,,,2020,Western Kentucky,1021,338,,
Dezmion Roberson,OLB,Elba,AL,6'1'',190,70,Western Kentucky,,183,,,2020,Western Kentucky,,,,
Colt Jackson,OG,Bowling Green,KY,6'3'',260,69,Western Kentucky,,198,,,2020,Western Kentucky,1079,22,,
Darius Ocean,QB,Cornelius,NC,5'10'',195,69,Western Kentucky,,100,,,2020,Western Kentucky,,,,
Malachi Corley,WR,Campbellsville,KY,6'0'',195,NR,Western Kentucky,,,,,2020,Western Kentucky, NR, NR,,
Will Ignont,ILB,Huntsville,AL,6'1'',225,TR,Western Kentucky,,,,,2020,Western Kentucky, None, None,,
TE-Y,Lester,AL,6'4'',225,76.0,,West Limestone High School,,,,,2021,Western Kentucky,,,, 
DE,Hendersonville,TN,6'4'',230,74.0,,Pope John Paul II High School ,,,,,2021,Western Kentucky,,,,
QB-PP,Steilacoom,WA,6'2'',200,71.0,,Steilacoom High School,,,,,2021,Western Kentucky,,,,
OT,North Huntingdon,PA,6'4'',295,69.0,,Norwin Senior High School,,,,,2021,Western Kentucky,,,,
CB, Fort Lauderdale,FL,5'11'',160,,,Independence Community College,,,,,2021,Western Kentucky,,,,
WR,Ann Arbor,MI,5'9'',170,,,University of Michigan ,,,,,2021,Western Kentucky,,,,
RB,Lee's Summit,MO,5'11'',205,,,North Dakota State University,,,,,2021,Western Kentucky,,,,
ILB,Huntsville,AL,6'0'',240,,,University of North Carolina,,,,,2021,Western Kentucky,,,,
WR,Waxahachie,TX,5'8'',180,,,Houston Baptist University,,,,,2021,Western Kentucky,,,,
WR,Waxahachie,TX,5'9'',175,,,Houston Baptist University,,,,,2021,Western Kentucky,,,,
WR,Deerfield Beach,FL,6'2'',180,,,University of Oregon,,,,,2021,Western Kentucky,,,,
TE-Y,Victor,NY,6'6'',235,,,University at Buffalo,,,,,2021,Western Kentucky,,,,
DE,Stone Mountain,GA,6'4'',250,,,University of Cincinnati,,,,,2021,Western Kentucky,,,,
CB,Ellenwood,GA,6'0'',190,,,University of North Carolina,,,,,2021,Western Kentucky,,,,
OG,Fort Lauderdale,FL,6'3'',300,,,Bowling Green State University,,,,,2021,Western Kentucky,,,,
CB,Belleville,MI,6'0'',180,,,Michigan State University,,,,,2021,Western Kentucky,,,,
OG,Lee's Summit,MO,6'3'',300,,,University of Nebraska,,,,,2021,Western Kentucky,,,,
TE-Y,Bradenton,FL,6'3'',240,,,University of Oklahoma,,,,,2021,Western Kentucky,,,,
QB-PP,Victoria,TX,6'2'',215,,,Houston Baptist University,,,,,2021,Western Kentucky,,,,
Nazir Ward,CB,Miami,FL,6'1'',160,75.0,Western Kentucky,,128,,,2023,Western Kentucky,560,195,,
Koron Hayward,WR,Jacksonville,FL,6'4'',200,73.0,Western Kentucky,,230,,,2023,Western Kentucky,682,244,,
Darrell Johnson Jr.,OT,Indianapolis,IN,6'7'',315,73.0,Western Kentucky,,17,,,2023,Western Kentucky, None, None,,
Jarvis Hayes,WR,Waycross,GA,6'0'',170,,Western Kentucky,,NR,,,2023,Western Kentucky,,,,
Jalen Hand,DT,Lexington,KY,6'3'',280,,Western Kentucky,,NR,,,2023,Western Kentucky, NR, NR,,
Lofton Howard,TE,Bowling Green,KY,6'5'',210,,Western Kentucky,,NR,,,2023,Western Kentucky, NR, NR,,
Ki'Shawn Harvey,DT,Knightdale,NC,6'3'',305,,Western Kentucky,,,,,2023,Western Kentucky, None, None,,
Noah Meyers,TE,Louisville,KY,6'5'',225,,Western Kentucky,,,,,2023,Western Kentucky, None, None,,
Reginald Allen Jr.,OLB,Interlachen,FL,6'3'',210,,Western Kentucky,,,,,2023,Western Kentucky,,,,
Chavaris Dumas,S,Palatka,FL,6'1'',180,,Western Kentucky,,NR,,,2023,Western Kentucky,,,,
Rickie Davis Jr.,S,Las Vegas,NV,6'0'',190,,Western Kentucky,,NR,,,2023,Western Kentucky, NR, NR,,
R.J. Evans,ILB,Birmingham,AL,6'1'',225,,Western Kentucky,,,,,2023,Western Kentucky, None, None,,
Daniel Edwards,CB,Orlando,FL,5'11'',170,,Western Kentucky,,,,,2023,Western Kentucky,,,,
