Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Grade  ,University  
Caleb Blake,S,Orlando,FL,5'10'',171,,,Colorado State,NR,,,2019,Colorado State,,,,
Alexander Azusenis,OT,Powell,OH,6'5'',289,,,Colorado State,NR, NR, NR,2019,Colorado State,,,,
Aiden Cullen,DE,Monument,CO,6'4'',240,,,Colorado State,,,,2019,Colorado State,,,,
Cian Quiroga,DE,Highlands Ranch,CO,6'2'',220,,,Colorado State,, None, None,2019,Colorado State,,,,
Ty McCullouch,WR,Moreno Valley,CA,6'0'',163,,,Colorado State,,,,2019,Colorado State,,,,
Tavian Brown,OLB,Demopolis,AL,6'2'',210,,,Colorado State,,,,2019,Colorado State,,,,
Nouredin Nouili,OG,Firth,NE,6'3'',280,,,Colorado State,,,,2019,Colorado State,,,,
Christian Hunter,RB,Fontana,CA,6'0'',185,,,Colorado State,, None, None,2019,Colorado State,,,,
Desmond Noel,OG,Cincinnati,OH,6'4'',305,,,Colorado State,,,,2019,Colorado State,,,,
T.J. Storment,OT,Statesville,NC,6'6'',315,,,Colorado State,NR, NR, NR,2019,Colorado State,,,,
Andre Neal,CB,Baltimore,MD,6'0'',187,,,Colorado State,,,,2019,Colorado State,,,,
