Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Jecoryan Davis-Hamilton,ATH,Apopka,FL,6'1'',180,7,75,,460,,,2020,Florida International,,,Apopka High School,,
Xavier McGriff,WR,Baldwin,FL,6'2'',180,7,75,,181,,,2020,Florida International,492,161,Baldwin High School,,
Shykieim Gloster,DE,Miami,FL,6'3'',215,7,75,,118,,,2020,Florida International,520,172,Monsignor Edward Pace High School,,
Rivaldo Fairweather,TE-H,Fort Lauderdale,FL,6'4'',210,7,74,,27,,,2020,Florida International,,,Boyd Anderson High School,,
Haden Carlson,QB-PP,Lutz,FL,6'3'',190,7,74,,594,,,2020,Florida International,51,200,George M. Steinbrenner High School,,
Darius Stokes,S,Miami,FL,5'10'',175,7,74,,,,,2020,Florida International,,,Carol City High School,,
Maljon Joor,OT (JC),Jackson,MS,6'5'',315,7,73,,17,,,2020,Florida International,,,Mississippi Gulf Coast Comm College,,
Joseph Perkins,S,Madison,MS,6'0'',180,7,73,,104,,,2020,Florida International,,,Madison-Ridgeland Academy,,
Miles Frazier,OT (POST),Camden,NJ,6'5'',304,7,73,,,,,2020,Florida International, None, None,Milford Academy,,
Chase Gabriel,K,Brunswick,GA,5'11'',180,7,73,,43,,,2020,Florida International,,,Glynn Academy,,
Jahmari Sylvester,OT,Fort Lauderdale,FL,6'4'',300,7,73,,149,,,2020,Florida International,,,Saint Thomas Aquinas High School,,
Andrew Volmar,CB,Plantation,FL,6'1'',170,7,72,,151,,,2020,Florida International,,,American Heritage High School,,
Wati Huggins,DE,Miami,FL,6'1'',205,7,72,,196,,,2020,Florida International,819,278,Miami Northwestern High School,,
Theodore Richardson,WR,Miami,FL,6'0'',180,7,72,,280,,,2020,Florida International,842,285,Booker T. Washington High School,,
Tamarick Best,DE,Pahokee,FL,6'1'',220,7,72,,202,,,2020,Florida International,,,Pahokee High School,,
Kameren Williams,OT (JC),Trinity,TX,6'4'',290,7,72,,25,,,2020,Florida International,,,Trinity Valley Community College,,
Bobby Washington,DT,Fort Lauderdale,FL,5'10'',300,7,70,,146,,,2020,Florida International,993,332,Saint Thomas Aquinas High School,,
Savion Collins,DT,Miami,FL,6'3'',310,,80,Florida International,18,127,47,2021,Florida International,,,,,
Katravis Geter,RB,Miami,FL,5'9'',185,,78,Florida International,37,,,2021,Florida International,,,,,
Artez Hooker,WR,Saint Petersburg,FL,5'9'',150,,77,Florida International,102,,,2021,Florida International,,,,,
Levontre Daniels,OG,Starke,FL,6'2'',320,,77,Florida International,44,,,2021,Florida International,,,,,
